"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.38,-0.256,0.183008370005482,0.359228197611468
"2",2,0.393333333333333,-0.214,0.228397751477151,0.428099740428679
"3",3,0.403333333333333,-0.196,0.268509786914619,0.52018834893464
"4",4,0.341666666666667,-0.308,0.238244001145113,0.434642710411995
"5",5,0.38,-0.248,0.224087972682904,0.411686427133218
"6",6,0.34,-0.336,0.22133894755604,0.418334891722712
"7",7,0.315,-0.358,0.219054088931366,0.412602491905382
"8",8,0.348333333333333,-0.3,0.248971808547167,0.466423649066129
"9",9,0.321666666666667,-0.354,0.214292327940267,0.416599450360675
"10",10,0.336666666666667,-0.312,0.238665982593175,0.461868432542853
"11",11,0.353333333333333,-0.304,0.2317976676547,0.458017021339529
"12",12,0.318333333333333,-0.354,0.228800728238855,0.44041260802357
"13",13,0.33,-0.342,0.241616813999474,0.465148648612594
"14",14,0.32,-0.364,0.22167165356776,0.413921021747988
"15",15,0.343333333333333,-0.322,0.213384347641982,0.4117112124402
"16",16,0.328333333333333,-0.35,0.221063447044163,0.420519600843858
"17",17,0.306666666666667,-0.396,0.222997513789868,0.413526397745843
"18",18,0.295,-0.398,0.212432462256615,0.399739711230563
"19",19,0.27,-0.448,0.213331207472401,0.40317110359686
"20",20,0.268333333333333,-0.45,0.234671816965746,0.426303523182194
"21",21,0.275,-0.434,0.23160805307552,0.427909011881007
"22",22,0.291666666666667,-0.408,0.220960847538936,0.408501492515946
"23",23,0.273333333333333,-0.442,0.236925699003026,0.43849929606906
"24",24,0.263333333333333,-0.454,0.225475059080985,0.409185352940724
"25",25,0.256666666666667,-0.452,0.233794490836671,0.436703794443823
"26",26,0.276666666666667,-0.434,0.224896045524409,0.427909011881007
"27",27,0.265,-0.438,0.235515789438479,0.445792117746487
"28",28,0.266666666666667,-0.426,0.259185012584253,0.496851310242608
"29",29,0.238333333333333,-0.49,0.257544879738202,0.487496729450044
"30",30,0.275,-0.414,0.222239936935648,0.415028890068916
"31",31,0.238333333333333,-0.478,0.24629338366875,0.463478419020734
"32",32,0.275,-0.424,0.224776280815467,0.432156434261332
"33",33,0.281666666666667,-0.398,0.218795144353671,0.415264852785766
"34",34,0.278333333333333,-0.412,0.216660125489958,0.416320128001988
"35",35,0.25,-0.458,0.216260739578392,0.425747841438798
"36",36,0.29,-0.404,0.22539961992455,0.428075904007498
"37",37,0.29,-0.394,0.21966785894611,0.419625683539168
"38",38,0.271666666666667,-0.432,0.196922179226216,0.381960570675849
"39",39,0.283333333333333,-0.404,0.21295885499998,0.415986655986924
"40",40,0.241666666666667,-0.476,0.189917334923141,0.366761892396533
"41",41,0.263333333333333,-0.424,0.218451569999792,0.423088739666578
"42",42,0.255,-0.446,0.23474427635929,0.456790042423369
"43",43,0.258333333333333,-0.432,0.23160805307552,0.445586062142332
"44",44,0.238333333333333,-0.464,0.215610981255815,0.428457127614983
"45",45,0.238333333333333,-0.47,0.235708273131589,0.453219773691866
"46",46,0.245,-0.456,0.21783437299691,0.429123454003053
"47",47,0.266666666666667,-0.424,0.242810453028228,0.456946386351834
"48",48,0.281666666666667,-0.402,0.2108790047599,0.429280366023257
"49",49,0.268333333333333,-0.43,0.23346084951008,0.446871209131916
"50",50,0.271666666666667,-0.41,0.214160016043274,0.41954786158824
"51",51,0.261666666666667,-0.45,0.208934506766867,0.401654740557416
"52",52,0.243333333333333,-0.46,0.183534212767636,0.369776545872708
"53",53,0.25,-0.452,0.199204768222399,0.397050348938062
"54",54,0.256666666666667,-0.446,0.1962228359813,0.393938770752564
"55",55,0.256666666666667,-0.446,0.182760391070433,0.367123401374435
"56",56,0.256666666666667,-0.428,0.214179868038562,0.405090063052247
"57",57,0.24,-0.48,0.203874044081978,0.396926971127137
"58",58,0.228333333333333,-0.494,0.208798799746335,0.398164154435769
