"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.475,-0.004,0.308721487616427,0.579218333231106
"2",2,0.436666666666667,-0.102,0.269142419033782,0.513686158454513
"3",3,0.435,-0.108,0.272142961296485,0.520925393224522
"4",4,0.44,-0.114,0.293562835389624,0.570717414616848
"5",5,0.446666666666667,-0.108,0.262855417523668,0.489831291239699
"6",6,0.445,-0.092,0.276953993903733,0.513030213535226
"7",7,0.455,-0.094,0.266841991684362,0.507659696398029
"8",8,0.436666666666667,-0.116,0.268087202789167,0.504413176930604
"9",9,0.44,-0.116,0.247458739317081,0.482070364920614
"10",10,0.438333333333333,-0.102,0.25853349717396,0.49342203651889
"11",11,0.413333333333333,-0.152,0.270926854601418,0.50839483290298
"12",12,0.446666666666667,-0.088,0.271345016379207,0.514142837296074
"13",13,0.45,-0.076,0.252538136138053,0.471454544739047
"14",14,0.455,-0.086,0.246982928344094,0.4531116905153
"15",15,0.426666666666667,-0.136,0.267600406061469,0.510206040812565
"16",16,0.448333333333333,-0.104,0.264537631973522,0.493616392411296
"17",17,0.411666666666667,-0.172,0.273762935995208,0.511915171544215
"18",18,0.433333333333333,-0.124,0.263523138347365,0.488880436950235
"19",19,0.466666666666667,-0.04,0.261363076191668,0.494046184736874
"20",20,0.471666666666667,-0.054,0.24949495471112,0.473031905555502
"21",21,0.481666666666667,-0.016,0.26900020652615,0.498307338980305
"22",22,0.47,-0.044,0.25296428543416,0.48028902862798
"23",23,0.478333333333333,-0.03,0.260172845041623,0.489585413948394
"24",24,0.468333333333333,-0.05,0.254154817388563,0.477343841331532
"25",25,0.486666666666667,-0.00200000000000001,0.264253537294752,0.504870159101348
"26",26,0.491666666666667,0.00199999999999999,0.279825220798647,0.527407985978094
"27",27,0.486666666666667,0.00199999999999999,0.281899131217898,0.527407985978094
"28",28,0.506666666666667,0.024,0.278601951929716,0.535117763121505
"29",29,0.488333333333333,-7.7715611723761e-18,0.265670972745683,0.495695759225642
"30",30,0.49,0.00599999999999999,0.264403663083843,0.497918114733328
"31",31,0.488333333333333,-7.7715611723761e-18,0.270429447671293,0.505883748846451
"32",32,0.475,-0.024,0.25602158532865,0.481731570610074
"33",33,0.498333333333333,0.02,0.275352793698797,0.515474815790535
"34",34,0.49,-0.00200000000000001,0.272845092395748,0.514083293497329
"35",35,0.473333333333333,-0.032,0.262142749016024,0.497930410677588
"36",36,0.48,-0.022,0.268615329069913,0.513606694596842
"37",37,0.498333333333333,0.00399999999999999,0.253372938185965,0.485697478700813
"38",38,0.505,0.028,0.275311614830851,0.518254527333858
"39",39,0.5,0.00399999999999999,0.27042420694287,0.516250216188125
"40",40,0.475,-0.046,0.252116887911278,0.478181077477082
"41",41,0.498333333333333,0.00599999999999999,0.268050194981236,0.508061542150402
"42",42,0.461666666666667,-0.056,0.277260856895523,0.525341482722798
"43",43,0.463333333333333,-0.056,0.275182891151987,0.515538157498293
"44",44,0.475,-0.034,0.262040008369704,0.506935571319855
"45",45,0.463333333333333,-0.048,0.261991327685313,0.489997917529935
"46",46,0.473333333333333,-0.032,0.268023757704196,0.508876313106453
"47",47,0.485,-0.00200000000000001,0.267626885158917,0.504870159101348
