"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.531666666666667,0.076,0.2836682694184,0.561543063571173
"2",2,0.435,-0.076,0.251576660933662,0.489297705796746
"3",3,0.391666666666667,-0.166,0.295108458481918,0.570931927033445
"4",4,0.351666666666667,-0.242,0.235876567513691,0.44634113429446
"5",5,0.415,-0.122,0.259452808111973,0.498278669674973
"6",6,0.396666666666667,-0.176,0.225600734949994,0.438717983889144
"7",7,0.408333333333333,-0.144,0.287814700088966,0.542164972257391
"8",8,0.445,-0.088,0.255112131319711,0.500872707768905
"9",9,0.416666666666667,-0.138,0.292576326843917,0.548054071516782
"10",10,0.391666666666667,-0.16,0.29318119895297,0.542481072744215
"11",11,0.401666666666667,-0.158,0.271830320891561,0.503493915006904
"12",12,0.39,-0.192,0.274295634741232,0.523660584886112
"13",13,0.375,-0.204,0.297023213092254,0.553637323267033
"14",14,0.373333333333333,-0.22,0.263114091115072,0.488646610756773
"15",15,0.396666666666667,-0.176,0.293813768588616,0.538539218438099
"16",16,0.368333333333333,-0.234,0.249199398346092,0.473635526797661
"17",17,0.378333333333333,-0.188,0.266841991684362,0.487659968521058
"18",18,0.413333333333333,-0.146,0.274564177430969,0.521461838469117
"19",19,0.406666666666667,-0.144,0.28052833212479,0.532671357884206
"20",20,0.42,-0.12,0.281194407456088,0.53908463611752
"21",21,0.423333333333333,-0.132,0.265580270010018,0.510877596266803
"22",22,0.44,-0.09,0.285237697749942,0.540313589973641
"23",23,0.44,-0.094,0.286229693850452,0.545635746031122
"24",24,0.401666666666667,-0.174,0.214741578596767,0.406483174840696
"25",25,0.383333333333333,-0.22,0.220157642963178,0.419426235882949
"26",26,0.428333333333333,-0.134,0.26352851631572,0.508543337908002
"27",27,0.39,-0.2,0.248259245671182,0.484452141651805
"28",28,0.42,-0.138,0.250826298859483,0.494413691112194
"29",29,0.413333333333333,-0.15,0.257517363965547,0.487077917749495
"30",30,0.43,-0.134,0.263716676114293,0.509345318091002
"31",31,0.423333333333333,-0.136,0.256900238276074,0.496008558188181
"32",32,0.4,-0.162,0.274584823682638,0.520160885629413
"33",33,0.42,-0.128,0.249693689899265,0.47425128962849
"34",34,0.43,-0.098,0.261558212283037,0.496308824200811
"35",35,0.418333333333333,-0.13,0.255600533358327,0.481600223743931
"36",36,0.423333333333333,-0.118,0.240370085030933,0.448439471036698
"37",37,0.428333333333333,-0.122,0.250854548563799,0.478215219245861
"38",38,0.413333333333333,-0.124,0.265110253879434,0.498389242193984
"39",39,0.416666666666667,-0.138,0.267261241912424,0.50704828091975
"40",40,0.42,-0.122,0.273011258728079,0.517564942193494
"41",41,0.38,-0.214,0.275697425259621,0.522946908765847
"42",42,0.41,-0.134,0.27346769553069,0.510945502106094
"43",43,0.398333333333333,-0.16,0.27266323201935,0.529150262212918
"44",44,0.403333333333333,-0.152,0.275800216891119,0.517545226259976
"45",45,0.4,-0.154,0.265131636325239,0.505968459128287
"46",46,0.383333333333333,-0.196,0.259185012584253,0.499371032971906
"47",47,0.411666666666667,-0.144,0.247097665379153,0.461656290558512
"48",48,0.373333333333333,-0.21,0.271595604411413,0.518337215900764
"49",49,0.423333333333333,-0.116,0.272948958208028,0.525030611352465
"50",50,0.391666666666667,-0.172,0.259321677509428,0.49074703571313
"51",51,0.411666666666667,-0.144,0.22924627559741,0.447742637446731
"52",52,0.411666666666667,-0.138,0.263205643716759,0.507852622041361
"53",53,0.4,-0.166,0.261363076191668,0.495123155159916
