Metabolite,Time_point,length,min,max,median,mean,iqr,mad,sd,se,ci,range,cv,var
HIPP,1,21,40,708,220,261.2857143,193,145.2948,193.9559597,42.32466031,88.28769433,668,0.742313678,37618.91429
HIPP,2,21,76,1119,231,302.5714286,212,145.2948,236.287446,51.56214796,107.5567559,1043,0.780931125,55831.75714
HIPP,3,21,31,223,106,107.1428571,65,48.9258,50.37885044,10.99356646,22.93217778,192,0.470202604,2538.028571
HIPP,4,21,16,185,77,95.04761905,61,42.9954,44.01076708,9.60393674,20.03346099,169,0.463039133,1936.947619
HIPP,5,21,76,973,205,277.3809524,203,134.9166,212.6248989,46.39855684,96.78569358,897,0.7665447,45209.34762
IS,1,21,8,58,23,23.80952381,14,8.8956,11.88115755,2.592681134,5.408238077,50,0.499008617,141.1619048
IS,2,21,5,52,24,25.23809524,13,10.3782,11.84864871,2.585587123,5.393440228,47,0.46947476,140.3904762
IS,3,21,9,48,25,26.80952381,12,10.3782,9.912714298,2.163131601,4.512213451,39,0.369746004,98.26190476
IS,4,21,8,47,19,21,14,10.3782,10.11434625,2.207131299,4.603995213,39,0.481635536,102.3
IS,5,21,3,58,29,28.52380952,17,13.3434,15.42277228,3.365524828,7.020361773,55,0.540698193,237.8619048
PAG,1,21,16,264,66,84,46,28.1694,54.96635334,11.99464166,25.02038407,248,0.654361349,3021.3
PAG,2,21,31,210,88,99.04761905,61,50.4084,51.05142132,11.14033345,23.23832838,179,0.515423004,2606.247619
PAG,3,21,20,228,94,106.6666667,48,37.065,51.35886811,11.20742384,23.37827648,208,0.481489389,2637.733333
PAG,4,21,19,222,71,91.66666667,67,37.065,59.93440859,13.0787602,27.2818157,203,0.653829912,3592.133333
PAG,5,21,21,318,98,106.952381,102,77.0952,74.70172434,16.30125268,34.00381724,297,0.698457797,5580.347619
PCS,1,21,4,69,16,21.9047619,10,5.9304,15.76992315,3.441279359,7.178382955,65,0.719931274,248.6904762
PCS,2,21,5,95,16,27.33333333,18,13.3434,22.2650698,4.858636558,10.13493826,90,0.814575725,495.7333333
PCS,3,21,9,91,33,37.04761905,22,16.3086,19.12191463,4.172743867,8.704191182,82,0.516144225,365.647619
PCS,4,21,3,83,20,25.80952381,33,20.7564,21.46536524,4.684126715,9.77091711,80,0.831683893,460.7619048
PCS,5,21,2,75,29,29.57142857,30,28.1694,20.24986772,4.418883412,9.217629276,73,0.684778136,410.0571429
